Symbol	Description
CWL	Caldwell Partners International Inc
CWW	Ishares S&P Global Water ETF
CXF	CI CDN Convert Bond ETF
CXI	Currency Exchange International Corp
CYB	Cymbria Corp Cl A
CYBR	Evolve Cyber Security Index Hgd ETF
CYBR.B	Evolve Cyber Security Index Uh ETF
CYBR.U	Evolve Cyber Security Index Uh Fund USD
CYH	Ishares Global Monthly Dividend ETF
D.UN	Dream Office REIT
DANC	Desjardins Lng Shrt Eqty Mkt Ntrl ETF
DATA	Evolve Cloud Computing Index Fund Hg ETF
DATA.B	Evolve Cloud Computing Indx Fund Uhg ETF
DAY	Dayforce Inc
DB	
DBM	Doman Building Materials Group Ltd.
DBO	Dbox Technologies Inc
DC.A	Dundee Corp Cl A Sv
DCBC	Desjardins Canadian Corp Bond Index ETF
DCBO	Docebo Inc
DCC	Desjardins 1To5 Yr Lad CDN Corp Bd ETF
DCG	Desjardins 1To5 Yr Lad CDN Govt Bd ETF
DCM	Data Communications Mgmt Corp
DCP	Desjardins CDN Pref Share ETF
DCS	Desjardins CDN Short Term Bd ETF
DCU	Desjardins CDN Universe Bond Index ETF
DE	
DF	Dividend 15 Split Corp II
DF.PR.A	Dividend 15 Split Corp II Prf
DFN	Dividend 15 Split Corp
DFN.PR.A	Dividend 15 Split Corp
DFY	DeFinity Financial Corporation
DGR	CI Wisdomtree US Qty Div Gwth Idx ETF
DGR.B	CI Wisdomtree US Qty Div Gwth Idx ETF NH
DGR.U	CI U.S. Quality Dividend Growth Index ETF
DGRC	CI Wisdomtree CDN Qlty Div Grth Idx ETF
DGS	Dividend Growth Split Corp Class A
DGS.PR.A	Dividend Growth Split Corp Pref
DHT.U	Dri Healthcare Trust USD
DHT.UN	Dri Healthcare Trust
DIAM	Star Diamond Corp
DII.A	Dorel Industries Inc Cl A Mv
DII.B	Dorel Industries Inc Cl B Sv
DIR.UN	Dream Industrial REIT
DISC	BMO Glb Consumer Disc Hgd To CAD ETF
DIV	Diversified Royalty Corp
DIV.DB.A	Diversified Royalty Corp 6.00 Pct Debs
DIVS	Evolve Active CDN Pref Share ETF
DLCG	Dominion Lending Centres Inc
DLR	GX US Dollar Currency ETF
DLR.U	GX US Dollar Currency ETF USD
DMEC	Desjardins Canadian Equity Index ETF
DMEE	Desjardins Emerging Mkt Eqt Ind Unhg ETF
DMEI	Desjardins International Equity Index ETF
DMEU	Desjardins American Equity Index ETF
DML	Denison Mines Corp
DMQC	Desjardins Quebec Equity ETF
DND	Dye & Durham Ltd
DNG	Dynacor Gold Mines Inc
DNTL	Dentalcorp Holdings Ltd
DOL	Dollarama Inc
DOO	Brp Inc
DPM	Dundee Precious Metals Inc
DR	Medical Facilities Corp
DRCU	Desjardins RI Active Canadian Bond-Low C
DRFC	Desjardins RI Cda Multi Low Co2 ETF
DRFD	Desjardins RI Dev Ex USA Ex Cda Co2 ETF
DRFE	Desjardins Emerging Mkts Low Co2 ETF
DRFG	Desjardins Gbl Fossil Fuel Res Free ETF
DRFU	Desjardins RI USA Multi Low Co2 ETF
